student_id,name,age,gender,grade,school,math_score,science_score,english_score,history_score,art_score,study_hours_per_day,attendance_percent,study_group,internet_access,parent_education,extracurricular
1001,Student_1,17,Female,11th,City Public School,47.0,89.0,76.0,40.0,94.0,5.9,86.0,None,Yes,Bachelor,No
1002,Student_2,18,Female,12th,Greenwood High,82.0,82.0,86.0,97.0,81.0,5.5,82.1,None,No,High School,Yes
1003,Student_3,16,Female,9th,Greenwood High,,56.0,40.0,97.0,57.0,3.1,59.8,Group C,No,Bachelor,Yes
1004,Student_4,18,Female,12th,City Public School,99.0,61.0,40.0,51.0,63.0,0.6,77.9,Group C,Yes,Bachelor,No
1005,Student_5,18,Female,11th,National Grammar,72.0,47.0,96.0,95.0,74.0,5.7,88.1,Group A,No,Bachelor,No
1006,Student_6,15,Male,9th,City Public School,65.0,79.0,81.0,73.0,89.0,7.6,99.6,Group B,Yes,High School,No
1007,Student_7,16,Female,11th,National Grammar,78.0,44.0,93.0,35.0,62.0,5.2,,Group B,Yes,Bachelor,Yes
1008,Student_8,16,Male,11th,Greenwood High,,43.0,81.0,71.0,58.0,3.8,,None,No,High School,No
1009,Student_9,16,Female,10th,Greenwood High,92.0,88.0,60.0,54.0,80.0,4.4,65.2,Group C,No,High School,Yes
1010,Student_10,18,Male,9th,National Grammar,,61.0,54.0,86.0,80.0,2.0,94.3,Group A,Yes,Bachelor,Yes
1011,Student_11,17,Female,10th,Greenwood High,81.0,68.0,56.0,84.0,64.0,6.1,91.7,None,Yes,Bachelor,No
1012,Student_12,16,Male,9th,National Grammar,82.0,35.0,61.0,45.0,96.0,,65.5,Group A,Yes,None,Yes
1013,Student_13,18,Female,11th,Sunrise Academy,93.0,66.0,77.0,43.0,63.0,1.6,64.0,Group C,Yes,None,Yes
1014,Student_14,15,Male,11th,City Public School,80.0,54.0,74.0,68.0,89.0,7.1,87.2,Group C,Yes,Bachelor,Yes
1015,Student_15,17,Female,12th,Sunrise Academy,48.0,69.0,84.0,57.0,88.0,2.5,69.2,Group C,No,Bachelor,Yes
1016,Student_16,15,Male,9th,National Grammar,63.0,51.0,55.0,80.0,51.0,,68.8,Group B,No,High School,Yes
1017,Student_17,17,Female,10th,City Public School,76.0,52.0,47.0,78.0,88.0,3.4,61.9,Group C,Yes,Bachelor,No
1018,Student_18,18,Male,12th,National Grammar,88.0,79.0,86.0,38.0,97.0,1.8,66.9,None,Yes,High School,Yes
1019,Student_19,14,Male,12th,City Public School,80.0,87.0,56.0,87.0,48.0,3.1,74.2,Group B,Yes,Bachelor,No
1020,Student_20,17,Female,12th,City Public School,56.0,99.0,56.0,74.0,78.0,3.8,,Group A,Yes,Master,Yes
1021,Student_21,15,Female,10th,City Public School,63.0,35.0,93.0,51.0,46.0,1.0,70.1,None,Yes,None,Yes
1022,Student_22,18,Male,12th,City Public School,60.0,92.0,65.0,61.0,49.0,4.8,69.8,None,Yes,Bachelor,Yes
1023,Student_23,17,Female,10th,National Grammar,90.0,60.0,52.0,98.0,99.0,5.0,67.8,Group A,Yes,Bachelor,Yes
1024,Student_24,14,Male,12th,City Public School,98.0,54.0,56.0,98.0,54.0,6.0,76.5,Group B,Yes,Bachelor,No
1025,Student_25,14,Male,10th,City Public School,78.0,44.0,77.0,71.0,76.0,0.7,63.1,None,Yes,Bachelor,Yes
1026,Student_26,16,Male,11th,Sunrise Academy,94.0,93.0,56.0,82.0,86.0,4.6,76.9,None,Yes,Master,Yes
1027,Student_27,16,Female,11th,Greenwood High,80.0,75.0,87.0,88.0,85.0,0.9,86.7,None,Yes,None,No
1028,Student_28,15,Male,11th,Greenwood High,78.0,,53.0,68.0,57.0,5.8,56.3,Group B,Yes,None,Yes
1029,Student_29,17,Male,11th,Sunrise Academy,52.0,99.0,84.0,44.0,83.0,0.9,55.4,Group B,Yes,High School,No
1030,Student_30,17,Female,11th,Sunrise Academy,50.0,51.0,45.0,58.0,49.0,7.3,58.4,Group B,Yes,Master,No
1031,Student_31,16,Female,12th,National Grammar,,56.0,74.0,32.0,54.0,5.8,79.1,None,Yes,Bachelor,Yes
1032,Student_32,17,Female,12th,National Grammar,58.0,75.0,85.0,39.0,54.0,4.3,93.5,Group C,No,Bachelor,Yes
1033,Student_33,17,Female,12th,National Grammar,50.0,45.0,53.0,58.0,82.0,3.8,55.2,Group A,Yes,None,Yes
1034,Student_34,14,Male,10th,Sunrise Academy,52.0,,86.0,64.0,71.0,1.5,97.1,Group C,Yes,Master,No
1035,Student_35,16,Male,10th,Sunrise Academy,85.0,85.0,47.0,35.0,95.0,2.7,59.8,Group B,Yes,Bachelor,Yes
1036,Student_36,18,Male,10th,City Public School,84.0,55.0,54.0,41.0,65.0,7.0,92.9,None,Yes,,Yes
1037,Student_37,16,Male,10th,National Grammar,40.0,60.0,93.0,67.0,52.0,7.3,76.7,None,Yes,High School,Yes
1038,Student_38,18,Female,11th,National Grammar,79.0,53.0,66.0,48.0,45.0,0.5,84.7,Group C,No,None,Yes
1039,Student_39,14,Male,11th,National Grammar,83.0,94.0,52.0,96.0,72.0,5.0,78.0,Group C,No,Bachelor,Yes
1040,Student_40,15,Male,11th,Greenwood High,58.0,81.0,88.0,37.0,93.0,5.9,76.5,Group A,No,Bachelor,No
1041,Student_41,17,Female,9th,City Public School,51.0,60.0,70.0,37.0,83.0,5.1,,None,Yes,None,Yes
1042,Student_42,14,Male,12th,National Grammar,47.0,74.0,92.0,76.0,58.0,1.1,89.0,Group C,Yes,Bachelor,No
1043,Student_43,17,Male,10th,National Grammar,47.0,39.0,95.0,33.0,65.0,2.1,76.8,Group A,Yes,High School,No
1044,Student_44,15,Male,10th,National Grammar,92.0,55.0,74.0,80.0,74.0,2.4,60.0,Group B,Yes,Bachelor,Yes
1045,Student_45,15,Male,11th,Greenwood High,84.0,38.0,99.0,96.0,65.0,6.7,60.2,Group C,Yes,Bachelor,Yes
1046,Student_46,14,Male,10th,Greenwood High,51.0,,45.0,74.0,93.0,4.0,91.1,Group B,Yes,High School,Yes
1047,Student_47,15,Male,10th,Sunrise Academy,87.0,49.0,44.0,37.0,53.0,4.2,78.8,Group A,No,Bachelor,No
1048,Student_48,18,Female,12th,City Public School,72.0,42.0,61.0,45.0,61.0,7.5,76.7,Group B,Yes,High School,Yes
1049,Student_49,15,Female,11th,Sunrise Academy,84.0,75.0,97.0,96.0,49.0,5.3,85.6,None,Yes,High School,No
1050,Student_50,17,Male,12th,City Public School,65.0,53.0,88.0,38.0,75.0,7.2,93.6,None,No,Bachelor,No
1051,Student_51,17,Male,9th,Greenwood High,78.0,80.0,62.0,89.0,96.0,3.9,83.3,Group B,No,None,Yes
1052,Student_52,17,Female,9th,National Grammar,67.0,62.0,64.0,44.0,84.0,1.6,89.3,None,Yes,High School,No
1053,Student_53,17,Male,9th,Sunrise Academy,97.0,49.0,73.0,70.0,82.0,7.5,89.4,Group A,No,None,Yes
1054,Student_54,18,Male,11th,National Grammar,44.0,71.0,65.0,51.0,87.0,3.9,71.0,None,No,None,No
1055,Student_55,16,Male,10th,Sunrise Academy,47.0,35.0,86.0,53.0,63.0,1.9,67.3,Group B,Yes,High School,Yes
1056,Student_56,14,Female,11th,Greenwood High,64.0,58.0,44.0,73.0,80.0,2.8,91.1,Group B,Yes,None,Yes
1057,Student_57,17,Male,11th,Greenwood High,66.0,61.0,65.0,30.0,94.0,0.9,72.0,Group B,Yes,Bachelor,Yes
1058,Student_58,15,Female,10th,Greenwood High,85.0,74.0,59.0,39.0,77.0,4.0,95.7,Group C,Yes,None,No
1059,Student_59,17,Male,12th,Sunrise Academy,62.0,97.0,45.0,85.0,57.0,6.9,58.1,Group B,Yes,Bachelor,Yes
1060,Student_60,15,Female,9th,City Public School,69.0,95.0,45.0,79.0,58.0,7.5,57.6,Group A,No,,No
1061,Student_61,15,Female,12th,Sunrise Academy,84.0,70.0,98.0,41.0,77.0,7.5,96.7,None,No,None,Yes
1062,Student_62,17,Male,9th,City Public School,86.0,58.0,89.0,89.0,73.0,1.4,84.2,None,No,,Yes
1063,Student_63,18,Female,11th,Sunrise Academy,62.0,58.0,57.0,55.0,87.0,3.4,72.1,Group C,No,Master,Yes
1064,Student_64,15,Male,9th,Sunrise Academy,88.0,,43.0,70.0,93.0,0.7,89.0,Group C,No,Bachelor,Yes
1065,Student_65,15,Female,11th,Greenwood High,86.0,68.0,56.0,65.0,80.0,6.9,85.3,Group A,Yes,,Yes
1066,Student_66,17,Male,12th,National Grammar,59.0,91.0,96.0,52.0,88.0,3.2,78.9,Group B,Yes,High School,Yes
1067,Student_67,15,Male,11th,National Grammar,57.0,83.0,53.0,72.0,54.0,5.2,59.4,Group C,Yes,Bachelor,No
1068,Student_68,15,Female,12th,City Public School,57.0,87.0,53.0,35.0,75.0,5.9,91.5,None,Yes,None,Yes
1069,Student_69,17,Male,10th,National Grammar,41.0,57.0,52.0,98.0,50.0,3.7,94.0,Group C,Yes,High School,Yes
1070,Student_70,17,Male,10th,Sunrise Academy,43.0,87.0,46.0,72.0,45.0,2.8,62.7,Group C,Yes,Bachelor,Yes
1071,Student_71,14,Female,10th,Sunrise Academy,69.0,96.0,83.0,54.0,51.0,7.7,93.3,Group B,No,High School,No
1072,Student_72,18,Male,11th,Greenwood High,72.0,75.0,94.0,47.0,71.0,7.7,94.5,Group C,Yes,Master,Yes
1073,Student_73,18,Male,10th,Greenwood High,75.0,91.0,54.0,91.0,65.0,2.7,79.7,Group A,No,None,Yes
1074,Student_74,15,Female,9th,National Grammar,57.0,94.0,58.0,42.0,72.0,4.1,,None,Yes,Master,Yes
1075,Student_75,18,Female,12th,City Public School,76.0,88.0,82.0,72.0,60.0,7.8,72.2,Group B,Yes,Bachelor,No
1076,Student_76,15,Male,12th,National Grammar,58.0,91.0,86.0,57.0,90.0,0.5,67.7,None,Yes,Bachelor,No
1077,Student_77,14,Male,9th,National Grammar,86.0,44.0,83.0,47.0,67.0,3.6,87.5,Group A,No,None,Yes
1078,Student_78,17,Female,11th,National Grammar,67.0,74.0,74.0,88.0,96.0,1.3,93.8,Group A,Yes,High School,Yes
1079,Student_79,17,Female,11th,National Grammar,79.0,41.0,56.0,89.0,64.0,4.3,84.4,Group C,Yes,,No
1080,Student_80,17,Male,12th,Sunrise Academy,59.0,72.0,74.0,92.0,82.0,0.7,78.0,Group C,Yes,High School,No
1081,Student_81,18,Female,10th,City Public School,88.0,95.0,58.0,86.0,98.0,3.6,62.2,Group C,Yes,Bachelor,No
1082,Student_82,14,Male,11th,Sunrise Academy,72.0,,59.0,80.0,69.0,2.2,57.4,None,Yes,Master,No
1083,Student_83,18,Male,11th,City Public School,51.0,85.0,75.0,85.0,72.0,4.5,,Group A,Yes,High School,No
1084,Student_84,18,Male,9th,Greenwood High,97.0,81.0,74.0,56.0,49.0,8.0,57.2,Group B,Yes,Bachelor,No
1085,Student_85,14,Male,9th,National Grammar,90.0,72.0,71.0,61.0,65.0,6.5,80.6,Group C,Yes,Bachelor,Yes
1086,Student_86,14,Male,10th,Sunrise Academy,54.0,70.0,97.0,38.0,62.0,6.8,72.2,None,Yes,High School,Yes
1087,Student_87,14,Female,11th,City Public School,80.0,75.0,87.0,97.0,91.0,5.3,89.1,Group C,Yes,High School,Yes
1088,Student_88,14,Female,11th,Greenwood High,78.0,47.0,83.0,75.0,50.0,0.8,68.8,Group A,Yes,Bachelor,No
1089,Student_89,17,Female,9th,Greenwood High,41.0,92.0,79.0,96.0,73.0,2.1,81.7,Group B,Yes,High School,No
1090,Student_90,16,Female,11th,National Grammar,68.0,84.0,63.0,55.0,63.0,7.4,79.2,Group A,Yes,Bachelor,No
1091,Student_91,16,Male,12th,City Public School,80.0,64.0,56.0,37.0,77.0,3.2,55.2,None,Yes,None,Yes
1092,Student_92,14,Male,9th,Sunrise Academy,49.0,96.0,46.0,35.0,45.0,,58.3,Group C,Yes,Master,Yes
1093,Student_93,16,Male,10th,National Grammar,41.0,59.0,82.0,53.0,89.0,5.8,68.1,Group A,Yes,,Yes
1094,Student_94,16,Male,9th,Sunrise Academy,90.0,61.0,89.0,77.0,47.0,2.7,94.7,None,Yes,Bachelor,Yes
1095,Student_95,14,Female,11th,Greenwood High,50.0,85.0,40.0,74.0,86.0,2.5,61.6,Group C,No,Bachelor,No
1096,Student_96,16,Male,10th,Sunrise Academy,52.0,,74.0,42.0,65.0,8.0,87.0,Group B,Yes,High School,No
1097,Student_97,18,Male,9th,Sunrise Academy,49.0,81.0,71.0,98.0,79.0,6.9,98.8,Group A,Yes,,Yes
1098,Student_98,15,Female,12th,National Grammar,53.0,73.0,75.0,54.0,85.0,3.6,90.6,Group C,Yes,Bachelor,Yes
1099,Student_99,15,Female,12th,Sunrise Academy,57.0,50.0,52.0,49.0,84.0,,65.9,Group C,No,Master,No
1100,Student_100,14,Female,9th,National Grammar,90.0,56.0,45.0,95.0,47.0,5.4,95.9,Group C,Yes,High School,Yes
1101,Student_101,17,Female,12th,Greenwood High,93.0,88.0,97.0,74.0,69.0,6.1,59.2,Group C,Yes,High School,No
1102,Student_102,14,Male,12th,National Grammar,48.0,55.0,53.0,76.0,89.0,0.7,76.1,Group A,No,High School,Yes
1103,Student_103,17,Male,12th,National Grammar,96.0,50.0,76.0,92.0,82.0,1.4,94.9,Group C,No,None,Yes
1104,Student_104,15,Female,10th,City Public School,78.0,93.0,87.0,84.0,89.0,5.2,83.9,None,Yes,Bachelor,Yes
1105,Student_105,14,Male,12th,Sunrise Academy,67.0,65.0,54.0,48.0,99.0,7.2,73.6,Group A,Yes,Bachelor,Yes
1106,Student_106,18,Male,12th,Greenwood High,42.0,76.0,86.0,64.0,64.0,5.2,68.2,Group C,No,High School,Yes
1107,Student_107,16,Male,12th,National Grammar,59.0,66.0,43.0,82.0,96.0,1.5,,Group A,Yes,Master,Yes
1108,Student_108,17,Female,10th,Greenwood High,45.0,93.0,79.0,55.0,88.0,1.4,77.9,None,Yes,None,Yes
1109,Student_109,16,Male,9th,City Public School,66.0,68.0,98.0,43.0,89.0,,69.4,None,Yes,Bachelor,Yes
1110,Student_110,16,Female,11th,Sunrise Academy,92.0,43.0,55.0,74.0,78.0,1.5,98.6,Group A,No,High School,Yes
1111,Student_111,14,Male,12th,National Grammar,41.0,45.0,67.0,73.0,65.0,4.4,97.0,Group C,Yes,High School,Yes
1112,Student_112,16,Male,9th,Sunrise Academy,68.0,44.0,55.0,94.0,99.0,0.8,94.2,Group C,Yes,Bachelor,Yes
1113,Student_113,18,Male,12th,City Public School,77.0,51.0,43.0,80.0,92.0,1.1,74.0,None,No,High School,No
1114,Student_114,16,Female,10th,City Public School,42.0,82.0,84.0,72.0,67.0,5.5,86.1,Group C,Yes,Bachelor,No
1115,Student_115,14,Male,9th,Greenwood High,55.0,86.0,65.0,52.0,50.0,5.7,95.6,None,Yes,Bachelor,Yes
1116,Student_116,18,Female,10th,National Grammar,69.0,59.0,67.0,85.0,95.0,3.1,93.3,Group C,Yes,High School,Yes
1117,Student_117,15,Female,12th,Greenwood High,79.0,55.0,71.0,48.0,97.0,2.1,,None,No,Bachelor,Yes
1118,Student_118,16,Female,12th,City Public School,41.0,99.0,84.0,84.0,57.0,6.6,60.1,Group B,Yes,High School,Yes
1119,Student_119,14,Male,10th,Sunrise Academy,56.0,97.0,41.0,89.0,93.0,2.1,58.4,Group C,Yes,Bachelor,No
1120,Student_120,15,Male,11th,Greenwood High,80.0,85.0,70.0,88.0,67.0,4.6,,Group C,Yes,High School,No
1121,Student_121,15,Male,10th,Greenwood High,51.0,70.0,42.0,62.0,53.0,7.8,83.9,Group C,Yes,High School,No
1122,Student_122,17,Male,12th,Sunrise Academy,74.0,49.0,93.0,48.0,61.0,1.6,93.2,Group A,No,High School,Yes
1123,Student_123,18,Female,10th,Greenwood High,82.0,73.0,47.0,57.0,46.0,7.6,68.2,Group C,Yes,Bachelor,Yes
1124,Student_124,16,Female,11th,Sunrise Academy,40.0,35.0,63.0,81.0,63.0,1.9,62.5,Group A,Yes,Bachelor,No
1125,Student_125,14,Female,10th,National Grammar,94.0,57.0,54.0,78.0,63.0,4.8,72.1,Group A,Yes,High School,Yes
1126,Student_126,17,Male,11th,Sunrise Academy,84.0,73.0,82.0,66.0,51.0,3.3,70.9,None,No,None,Yes
1127,Student_127,18,Female,11th,National Grammar,54.0,91.0,70.0,55.0,98.0,7.7,61.0,Group A,Yes,High School,No
1128,Student_128,17,Male,10th,Sunrise Academy,65.0,68.0,48.0,69.0,86.0,2.6,85.3,Group A,Yes,Bachelor,No
1129,Student_129,18,Female,10th,City Public School,76.0,75.0,78.0,67.0,86.0,,77.9,Group B,Yes,Bachelor,No
1130,Student_130,18,Male,9th,City Public School,60.0,47.0,84.0,83.0,64.0,7.9,87.5,Group C,Yes,High School,Yes
1131,Student_131,16,Male,12th,National Grammar,88.0,,41.0,51.0,53.0,4.5,,Group A,Yes,None,Yes
1132,Student_132,18,Female,11th,National Grammar,70.0,86.0,47.0,45.0,61.0,4.3,69.7,Group C,Yes,Bachelor,Yes
1133,Student_133,17,Female,9th,City Public School,64.0,,46.0,57.0,71.0,2.4,76.3,Group A,Yes,,No
1134,Student_134,18,Female,10th,National Grammar,62.0,97.0,95.0,64.0,91.0,5.8,94.5,None,Yes,None,Yes
1135,Student_135,16,Female,12th,Sunrise Academy,63.0,83.0,83.0,89.0,46.0,0.6,56.8,Group B,No,None,No
1136,Student_136,16,Male,9th,Sunrise Academy,96.0,81.0,90.0,74.0,80.0,0.9,91.2,Group A,Yes,High School,No
1137,Student_137,17,Female,11th,City Public School,77.0,89.0,78.0,75.0,63.0,5.0,71.6,Group C,No,Bachelor,Yes
1138,Student_138,15,Female,9th,Greenwood High,67.0,98.0,81.0,84.0,61.0,3.1,93.5,None,Yes,Bachelor,Yes
1139,Student_139,15,Female,11th,Sunrise Academy,60.0,99.0,96.0,55.0,49.0,7.6,91.1,Group C,No,High School,Yes
1140,Student_140,18,Male,10th,National Grammar,93.0,49.0,55.0,54.0,83.0,7.3,70.7,None,No,Bachelor,No
1141,Student_141,14,Male,12th,Greenwood High,82.0,66.0,74.0,94.0,62.0,5.9,86.2,Group B,No,High School,No
1142,Student_142,18,Female,12th,Greenwood High,57.0,52.0,69.0,35.0,97.0,6.6,62.2,None,No,Bachelor,No
1143,Student_143,17,Male,12th,Sunrise Academy,75.0,77.0,49.0,52.0,98.0,,95.3,Group C,Yes,Bachelor,Yes
1144,Student_144,17,Female,10th,Sunrise Academy,74.0,69.0,77.0,93.0,51.0,1.4,73.2,Group C,Yes,Bachelor,Yes
1145,Student_145,17,Male,11th,Greenwood High,84.0,92.0,57.0,72.0,61.0,6.2,75.5,Group A,Yes,High School,No
1146,Student_146,17,Male,10th,Greenwood High,94.0,67.0,89.0,52.0,83.0,2.1,86.8,None,Yes,None,Yes
1147,Student_147,17,Male,12th,City Public School,48.0,48.0,44.0,59.0,80.0,2.9,91.9,Group C,Yes,Bachelor,No
1148,Student_148,16,Male,10th,National Grammar,92.0,68.0,92.0,47.0,84.0,6.6,65.6,Group A,No,Bachelor,No
1149,Student_149,15,Female,10th,City Public School,77.0,95.0,68.0,50.0,89.0,4.5,84.8,Group B,Yes,None,Yes
1150,Student_150,17,Female,10th,Sunrise Academy,97.0,38.0,78.0,86.0,48.0,6.9,,Group C,Yes,Master,Yes
1151,Student_151,14,Female,11th,City Public School,69.0,93.0,99.0,52.0,82.0,,71.6,Group A,No,Master,Yes
1152,Student_152,14,Male,9th,City Public School,99.0,63.0,73.0,74.0,69.0,5.1,86.1,Group C,Yes,Bachelor,Yes
1153,Student_153,14,Female,9th,City Public School,83.0,40.0,82.0,73.0,49.0,1.1,72.4,None,Yes,Master,No
1154,Student_154,14,Female,10th,City Public School,73.0,83.0,84.0,76.0,74.0,5.3,70.6,Group A,No,High School,No
1155,Student_155,16,Female,9th,National Grammar,71.0,74.0,62.0,69.0,56.0,6.2,92.6,None,Yes,None,No
1156,Student_156,14,Male,9th,National Grammar,42.0,99.0,44.0,80.0,48.0,4.9,,Group B,Yes,None,No
1157,Student_157,17,Male,10th,Greenwood High,42.0,61.0,69.0,71.0,68.0,2.5,85.4,None,No,Bachelor,Yes
1158,Student_158,18,Male,10th,Sunrise Academy,67.0,40.0,45.0,36.0,73.0,0.7,66.2,Group A,No,None,Yes
1159,Student_159,14,Female,12th,City Public School,,47.0,95.0,79.0,53.0,1.4,55.7,Group C,No,Master,No
1160,Student_160,16,Female,9th,Greenwood High,54.0,98.0,97.0,77.0,48.0,5.2,62.5,Group A,Yes,High School,Yes
1161,Student_161,16,Female,11th,Greenwood High,80.0,96.0,85.0,35.0,95.0,7.5,82.3,None,No,High School,No
1162,Student_162,14,Male,10th,Greenwood High,62.0,53.0,83.0,38.0,68.0,2.0,86.9,None,Yes,,No
1163,Student_163,18,Male,12th,National Grammar,79.0,77.0,43.0,86.0,58.0,6.0,55.9,Group C,Yes,High School,Yes
1164,Student_164,14,Female,11th,City Public School,50.0,54.0,68.0,60.0,49.0,7.0,56.6,Group B,Yes,High School,Yes
1165,Student_165,16,Male,9th,City Public School,87.0,78.0,62.0,50.0,62.0,4.4,95.6,Group A,Yes,Bachelor,Yes
1166,Student_166,15,Male,12th,Sunrise Academy,71.0,57.0,45.0,69.0,86.0,5.5,58.3,Group C,Yes,High School,No
1167,Student_167,17,Male,10th,City Public School,97.0,36.0,71.0,74.0,63.0,6.6,95.2,Group C,Yes,High School,Yes
1168,Student_168,16,Male,11th,City Public School,98.0,56.0,81.0,78.0,56.0,,,Group C,Yes,High School,No
1169,Student_169,14,Female,10th,Greenwood High,96.0,91.0,57.0,49.0,62.0,2.7,88.3,Group A,Yes,Bachelor,Yes
1170,Student_170,17,Male,9th,Sunrise Academy,93.0,41.0,54.0,46.0,61.0,0.5,68.9,Group A,No,Master,No
1171,Student_171,14,Male,11th,City Public School,75.0,90.0,79.0,57.0,74.0,7.7,93.6,Group A,Yes,Bachelor,Yes
1172,Student_172,14,Male,9th,National Grammar,99.0,50.0,97.0,70.0,68.0,7.4,86.5,Group B,Yes,High School,Yes
1173,Student_173,15,Male,9th,City Public School,72.0,85.0,71.0,95.0,55.0,6.2,73.1,Group C,Yes,High School,No
1174,Student_174,17,Female,12th,Greenwood High,63.0,46.0,48.0,54.0,79.0,1.1,58.4,None,Yes,Bachelor,No
1175,Student_175,17,Female,10th,National Grammar,78.0,87.0,76.0,87.0,67.0,3.9,88.0,None,Yes,Master,Yes
1176,Student_176,15,Male,11th,Greenwood High,73.0,39.0,49.0,70.0,61.0,1.3,82.8,Group C,Yes,High School,No
1177,Student_177,16,Male,9th,City Public School,95.0,61.0,59.0,35.0,45.0,0.6,55.1,None,Yes,High School,No
1178,Student_178,14,Male,9th,National Grammar,67.0,46.0,45.0,67.0,59.0,5.1,55.4,Group B,No,Bachelor,Yes
1179,Student_179,18,Male,11th,Sunrise Academy,76.0,51.0,87.0,35.0,76.0,7.7,91.4,Group B,Yes,Master,Yes
1180,Student_180,14,Male,9th,Sunrise Academy,46.0,40.0,95.0,74.0,53.0,7.3,66.7,Group A,Yes,High School,No
1181,Student_181,14,Male,12th,National Grammar,43.0,39.0,98.0,43.0,59.0,5.7,83.6,Group A,Yes,High School,Yes
1182,Student_182,16,Female,12th,National Grammar,76.0,91.0,42.0,95.0,72.0,1.2,75.4,Group A,Yes,High School,Yes
1183,Student_183,14,Male,12th,Greenwood High,95.0,62.0,81.0,69.0,68.0,2.6,93.9,Group A,Yes,None,No
1184,Student_184,15,Female,12th,National Grammar,40.0,93.0,50.0,32.0,79.0,2.9,96.3,Group A,Yes,Bachelor,Yes
1185,Student_185,15,Female,9th,Greenwood High,40.0,67.0,82.0,53.0,66.0,6.2,99.9,None,Yes,Bachelor,Yes
1186,Student_186,17,Male,11th,City Public School,86.0,96.0,56.0,48.0,71.0,6.5,61.9,None,No,Bachelor,No
1187,Student_187,18,Female,11th,Greenwood High,59.0,,71.0,47.0,63.0,3.4,93.8,Group A,Yes,None,Yes
1188,Student_188,14,Female,11th,National Grammar,58.0,53.0,43.0,93.0,89.0,,67.0,Group B,Yes,None,No
1189,Student_189,14,Female,11th,National Grammar,68.0,81.0,43.0,64.0,56.0,0.8,81.6,None,No,High School,No
