student_id,age,gender,grade,school,Math,Science,English,History,Art,Study_Hours,Attendance,study_group,Internet,Parent_Edu,Extracurricular,Avg_Score
1001,17,Female,11th,City Public School,47.0,89.0,76.0,40.0,94.0,5.9,86.0,,Yes,Bachelor,No,69.2
1002,18,Female,12th,Greenwood High,82.0,82.0,86.0,97.0,81.0,5.5,82.1,,No,High School,Yes,85.6
1003,16,Female,9th,Greenwood High,,56.0,40.0,97.0,57.0,3.1,59.8,Group C,No,Bachelor,Yes,62.5
1004,18,Female,12th,City Public School,99.0,61.0,40.0,51.0,63.0,0.6,77.9,Group C,Yes,Bachelor,No,62.8
1005,18,Female,11th,National Grammar,72.0,47.0,96.0,95.0,74.0,5.7,88.1,Group A,No,Bachelor,No,76.8
1006,15,Male,9th,City Public School,65.0,79.0,81.0,73.0,89.0,7.6,99.6,Group B,Yes,High School,No,77.4
1007,16,Female,11th,National Grammar,78.0,44.0,93.0,35.0,62.0,5.2,,Group B,Yes,Bachelor,Yes,62.4
1008,16,Male,11th,Greenwood High,,43.0,81.0,71.0,58.0,3.8,,,No,High School,No,63.25
1009,16,Female,10th,Greenwood High,92.0,88.0,60.0,54.0,80.0,4.4,65.2,Group C,No,High School,Yes,74.8
1010,18,Male,9th,National Grammar,,61.0,54.0,86.0,80.0,2.0,94.3,Group A,Yes,Bachelor,Yes,70.25
1011,17,Female,10th,Greenwood High,81.0,68.0,56.0,84.0,64.0,6.1,91.7,,Yes,Bachelor,No,70.6
1012,16,Male,9th,National Grammar,82.0,35.0,61.0,45.0,96.0,,65.5,Group A,Yes,,Yes,63.8
1013,18,Female,11th,Sunrise Academy,93.0,66.0,77.0,43.0,63.0,1.6,64.0,Group C,Yes,,Yes,68.4
1014,15,Male,11th,City Public School,80.0,54.0,74.0,68.0,89.0,7.1,87.2,Group C,Yes,Bachelor,Yes,73.0
1015,17,Female,12th,Sunrise Academy,48.0,69.0,84.0,57.0,88.0,2.5,69.2,Group C,No,Bachelor,Yes,69.2
1016,15,Male,9th,National Grammar,63.0,51.0,55.0,80.0,51.0,,68.8,Group B,No,High School,Yes,60.0
1017,17,Female,10th,City Public School,76.0,52.0,47.0,78.0,88.0,3.4,61.9,Group C,Yes,Bachelor,No,68.2
1018,18,Male,12th,National Grammar,88.0,79.0,86.0,38.0,97.0,1.8,66.9,,Yes,High School,Yes,77.6
1019,14,Male,12th,City Public School,80.0,87.0,56.0,87.0,48.0,3.1,74.2,Group B,Yes,Bachelor,No,71.6
1020,17,Female,12th,City Public School,56.0,99.0,56.0,74.0,78.0,3.8,,Group A,Yes,Master,Yes,72.6
1021,15,Female,10th,City Public School,63.0,35.0,93.0,51.0,46.0,1.0,70.1,,Yes,,Yes,57.6
1022,18,Male,12th,City Public School,60.0,92.0,65.0,61.0,49.0,4.8,69.8,,Yes,Bachelor,Yes,65.4
1023,17,Female,10th,National Grammar,90.0,60.0,52.0,98.0,99.0,5.0,67.8,Group A,Yes,Bachelor,Yes,79.8
1024,14,Male,12th,City Public School,98.0,54.0,56.0,98.0,54.0,6.0,76.5,Group B,Yes,Bachelor,No,72.0
1025,14,Male,10th,City Public School,78.0,44.0,77.0,71.0,76.0,0.7,63.1,,Yes,Bachelor,Yes,69.2
1026,16,Male,11th,Sunrise Academy,94.0,93.0,56.0,82.0,86.0,4.6,76.9,,Yes,Master,Yes,82.2
1027,16,Female,11th,Greenwood High,80.0,75.0,87.0,88.0,85.0,0.9,86.7,,Yes,,No,83.0
1028,15,Male,11th,Greenwood High,78.0,,53.0,68.0,57.0,5.8,56.3,Group B,Yes,,Yes,64.0
1029,17,Male,11th,Sunrise Academy,52.0,99.0,84.0,44.0,83.0,0.9,55.4,Group B,Yes,High School,No,72.4
1030,17,Female,11th,Sunrise Academy,50.0,51.0,45.0,58.0,49.0,7.3,58.4,Group B,Yes,Master,No,50.6
1031,16,Female,12th,National Grammar,,56.0,74.0,32.0,54.0,5.8,79.1,,Yes,Bachelor,Yes,54.0
1032,17,Female,12th,National Grammar,58.0,75.0,85.0,39.0,54.0,4.3,93.5,Group C,No,Bachelor,Yes,62.2
1033,17,Female,12th,National Grammar,50.0,45.0,53.0,58.0,82.0,3.8,55.2,Group A,Yes,,Yes,57.6
1034,14,Male,10th,Sunrise Academy,52.0,,86.0,64.0,71.0,1.5,97.1,Group C,Yes,Master,No,68.25
1035,16,Male,10th,Sunrise Academy,85.0,85.0,47.0,35.0,95.0,2.7,59.8,Group B,Yes,Bachelor,Yes,69.4
1036,18,Male,10th,City Public School,84.0,55.0,54.0,41.0,65.0,7.0,92.9,,Yes,,Yes,59.8
1037,16,Male,10th,National Grammar,40.0,60.0,93.0,67.0,52.0,7.3,76.7,,Yes,High School,Yes,62.4
1038,18,Female,11th,National Grammar,79.0,53.0,66.0,48.0,45.0,0.5,84.7,Group C,No,,Yes,58.2
1039,14,Male,11th,National Grammar,83.0,94.0,52.0,96.0,72.0,5.0,78.0,Group C,No,Bachelor,Yes,79.4
1040,15,Male,11th,Greenwood High,58.0,81.0,88.0,37.0,93.0,5.9,76.5,Group A,No,Bachelor,No,71.4
1041,17,Female,9th,City Public School,51.0,60.0,70.0,37.0,83.0,5.1,,,Yes,,Yes,60.2
